id,year,month,day,tmin,tmax,mean_cloud,wind,prcp,wet_day
309,6485,3,19,-2.91256,-1.60633,0.938971,0,0,0
309,6485,3,20,-9.59548,-8.25231,0.920725,0.0988019,11.0252,1
309,6485,3,21,-10.7435,5.6095,0.552534,0,0,0
309,6485,3,22,-10.9349,1.02319,0.140178,0,0,0
309,6485,3,23,-10.2409,1.09784,0.886936,0.1336,3.47514,1
309,6485,3,24,-3.33738,1.08651,0.854931,0.379974,0.478729,1
309,6485,3,25,-8.93368,-4.66007,0.720289,0.3651,0,0
309,6485,3,26,-9.95611,0.321652,0.956878,0.705853,2.52249,1
309,6485,3,27,-8.19648,-3.73566,0.930842,0.732894,2.33361,1
309,6485,3,28,-11.2751,0.201662,0,0.847799,0,0
309,6485,3,29,-7.62179,7.09063,0.837723,0.633391,0.446683,1
309,6485,3,30,-7.96268,4.15374,0.596669,1.45371,0,0
309,6485,3,31,-5.31306,2.30333,0.783892,0.376144,4.03874,1
309,6485,4,1,-9.84632,3.57266,0.835117,1.32792,5.48429,1
309,6485,4,2,-9.78613,3.84533,0.851529,0.879657,14.9267,1
309,6485,4,3,-10.7508,-2.58601,0.717949,0,2.20003,1
309,6485,4,4,-7.37938,0.876701,0.847381,0.482574,0.0455256,1
309,6485,4,5,-8.28224,2.35004,0.528072,1.44473,0,0
309,6485,4,6,-5.18533,3.9971,0.907331,0,1.65611,1
309,6485,4,7,-4.69135,3.85815,0.73604,0.583497,0.186829,1
309,6485,4,8,-8.05295,-0.0294769,0.332849,1.95405,0,0
309,6485,4,9,-5.37378,-0.652246,0.829364,0,0.012154,1
309,6485,4,10,-6.48816,2.40756,0.843301,1.87724,1.09184,1
309,6485,4,11,-7.92489,1.34526,0.95876,0,5.11215,1
309,6485,4,12,-8.71087,4.74425,0.803013,0,0,0
309,6485,4,13,-7.22674,1.27395,0.465259,2.32801,0,0
309,6485,4,14,-4.15952,3.4001,0.865825,0.60859,1.02192,1
309,6485,4,15,-4.1553,3.79515,0.620192,2.16383,0,0
309,6485,4,16,-8.68214,-2.12979,0.44421,0.760489,0,0
309,6485,4,17,-5.66066,9.81261,0.587354,3.3148,0,0
309,6485,4,18,-3.53851,3.33187,0.92376,0.894291,0.930498,1
309,6485,4,19,-11.5296,8.49563,0.166738,0,0,0
309,6485,4,20,-5.61157,4.7918,0.299878,2.0175,0,0
309,6485,4,21,-7.09979,3.42836,0.757541,0,0.00284055,1
309,6485,4,22,-4.75723,4.29449,0.898136,0,0.572452,1
309,6485,4,23,-10.1467,5.38306,0.769625,0,2.31865,1
309,6485,4,24,-3.90888,1.46134,0.786352,1.96176,4.34122,1
309,6485,4,25,-4.79376,1.42969,0.837919,1.38271,0.233499,1
309,6485,4,26,-2.78206,2.33346,0.901742,0,0.633388,1
309,6485,4,27,-6.91121,4.3403,0.857333,2.4503,3.69378,1
309,6485,4,28,-3.8132,7.73693,0.866162,0.770647,1.14501,1
309,6485,4,29,-5.00478,0.957177,0.840402,1.2512,2.53376,1
309,6485,4,30,-3.91232,4.88861,0.957016,1.65646,1.94601,1
309,6485,5,1,-4.05769,1.94462,0.869426,0.857301,0.0626745,1
309,6485,5,2,-5.11297,4.65609,0.50763,0.930824,0,0
309,6485,5,3,-6.08762,11.8809,0.777423,0,0,0
309,6485,5,4,-1.68328,3.99867,0.949911,0.567061,1.40543,1
309,6485,5,5,-6.10569,2.11724,0.93263,0,0.163625,1
309,6485,5,6,-1.06806,2.36513,0.950425,0.77542,2.45922,1
309,6485,5,7,-2.16896,5.07147,0.818977,0,0,0
309,6485,5,8,-2.99782,6.22842,0.731425,0,0,0
309,6485,5,9,-0.482591,7.54953,0.962665,0,2.88107,1
309,6485,5,10,-0.417191,8.85693,0.928334,0.263663,0.031403,1
309,6485,5,11,-0.539355,4.78216,0.961893,0.0661706,0.243797,1
309,6485,5,12,-1.02696,3.59653,0.962983,0,1.06561,1
309,6485,5,13,-0.729537,2.89502,0.946736,0.206721,2.65914,1
309,6485,5,14,-0.749697,7.72535,0.824616,0.0311089,0,0
309,6485,5,15,-2.27215,6.6665,1,0,0,0
309,6485,5,16,-2.55984,3.36363,0.753283,0.0262547,0,0
309,6485,5,17,0.600719,10.6026,0.940414,0.0298254,1.77972,1
309,6485,5,18,-1.33984,7.73475,0.944104,0.0541748,0,0
309,6485,5,19,0.419362,4.66791,0.942964,0,0.813056,1
309,6485,5,20,-4.26336,3.42357,0.760234,0.0624855,0,0
309,6485,5,21,-0.775773,3.97152,0.72652,0,0,0
309,6485,5,22,-0.775892,5.31488,0.973028,0.0765814,0,0
309,6485,5,23,1.17192,6.57094,0.96038,0.264919,0.700835,1
309,6485,5,24,1.01534,5.51218,0.514385,0,0,0
309,6485,5,25,0.911609,11.3734,0.539807,0.11591,0,0
309,6485,5,26,2.18788,8.68256,1,0,0,0
